"agency_cd","site_no","date","flow","Flow_cd"
"USGS","13344500",2002-04-22,240,"A e"
"USGS","13344500",2002-04-23,235,"A e"
"USGS","13344500",2002-04-24,250,"A e"
"USGS","13344500",2002-04-25,245,"A e"
"USGS","13344500",2002-04-26,225,"A e"
"USGS","13344500",2002-04-27,240,"A e"
"USGS","13344500",2002-04-28,235,"A e"
"USGS","13344500",2002-04-29,220,"A e"
"USGS","13344500",2002-04-30,203,"A"
"USGS","13344500",2002-05-01,218,"A"
"USGS","13344500",2002-05-02,240,"A"
"USGS","13344500",2002-05-03,262,"A"
"USGS","13344500",2002-05-04,266,"A"
"USGS","13344500",2002-05-05,251,"A"
"USGS","13344500",2002-05-06,234,"A"
"USGS","13344500",2002-05-07,224,"A"
"USGS","13344500",2002-05-08,211,"A"
"USGS","13344500",2002-05-09,196,"A"
"USGS","13344500",2002-05-10,184,"A"
"USGS","13344500",2002-05-11,175,"A"
"USGS","13344500",2002-05-12,168,"A"
"USGS","13344500",2002-05-13,173,"A"
"USGS","13344500",2002-05-14,200,"A"
"USGS","13344500",2002-05-15,221,"A"
"USGS","13344500",2002-05-16,221,"A"
"USGS","13344500",2002-05-17,219,"A"
"USGS","13344500",2002-05-18,232,"A"
"USGS","13344500",2002-05-19,266,"A"
"USGS","13344500",2002-05-20,318,"A"
"USGS","13344500",2002-05-21,339,"A"
"USGS","13344500",2002-05-22,302,"A"
"USGS","13344500",2002-05-23,284,"A"
"USGS","13344500",2002-05-24,268,"A"
"USGS","13344500",2002-05-25,261,"A"
"USGS","13344500",2002-05-26,267,"A"
"USGS","13344500",2002-05-27,288,"A"
"USGS","13344500",2002-05-28,330,"A"
"USGS","13344500",2002-05-29,389,"A"
"USGS","13344500",2002-05-30,416,"A"
"USGS","13344500",2002-05-31,392,"A"
"USGS","13344500",2002-06-01,369,"A"
"USGS","13344500",2002-06-02,347,"A"
"USGS","13344500",2002-06-03,320,"A"
"USGS","13344500",2002-06-04,300,"A"
