Date,Trap Location,Trap Size,Crew,Trap Stop Time,Trap Start Time,Catch,Sorel_comment,Discharge,Cone RPM,Debris Amount,Debris Size,Water Temp,Water Clarity,Comments
11/13/2015,Nason,1.5 m,"KS, MC",Stopped ,9:10am,2,,1470,12.5,S,S,3.4,Clear,
7/26/2016,Nason,1.5 m,"JH,BI",Stopped ,9:10am,NA,,75.6,1.5,S,S,16.6,Clear,Dug out
11/6/2015,White,1.5 m,"KS, MC",Stopped ,9:10am,2,,490,5.5,S,S,4,Clear,
11/13/2013,White ,1.5 m,"MWC,KS",Stopped ,9:10AM,2,,424,6.5,Small,Small,4.5,Clear,Trap stopped by log
3/12/2004,Nason,1.5 m,"JR,TB",N/A,9:10am,8,,398,7,Small,Small,3,Cloudy,
4/6/2006,Nason,1.5 m,"SP,MW",N/A,9:10am,42,,264,8,Small,Small,3,Cloudy,
3/5/2007,Nason,1.5 m,"MC,SP",N/A,9:10AM,5,,235,7,Small,Small,4,Clear,
3/7/2006,Nason,1.5 m,"LS,RK",9:10am,9:10AM,NA,,108,5,Small,Small,3,Clear,
3/13/2006,Nason,1.5 m,RK,9:10am,9:10AM,NA,,99.6,5,Small,Small,-1,Clear,
3/16/2006,Nason,1.5 m,RK,9:10am,9:10AM,NA,,103,5,Small,Small,2,Clear,
10/31/2016,Nason,1.5 m,"JH,TJ",9:05am,9:10am,21,,344,5.25,S,S,6.5,Clear,
11/19/2014,White ,1.5 m,"KS, MWC",9:00am ,9:10am,4,,392,6,Small,Small,1.2,Clear,
3/3/2013,Nason,1.5 m,"MWC,JH",9:00am,9:10am,5,,271,5,Small,Small,2.4,Cloudy,"Water up, pine needles"
10/18/2013,Nason,1.5 m,"JH,KS",9:00AM,9:10AM,3,,152,6,Small,Small,4.9,Clear,
11/21/2015,Nason,1.5 m,"KS,MC",9:00am,9:10am,4,,768,8,M,S,2.1,Cloudy,
11/22/2015,Nason,1.5 m,"JH,BI",9:00am,9:10am,2,,641,7.5,M,S,2,Cloudy,
6/1/2016,Nason,1.5 m,"JH,MC,KS",9:00am,9:10am,NA,,581,10,S,S,8.8,Clear,
6/9/2016,Nason,1.5 m,"KS,MC",9:00am,9:10am,3,,553,8,S,S,9.6,Cloudy,
11/12/2016,Nason,1.5 m,"KS,MC",9:00am,9:10am,1,,234,5.5,S,S,7.1,Clear,
11/17/2016,Nason,1.5 m,"KS,MC,TJ",9:00am,9:10am,17,,395,7.8,S,S,4.2,Clear,
11/25/2016,Nason,1.5 m,"KS,MC",9:00am,9:10am,1,,231,6.5,S,S,4.1,Clear,
11/26/2016,Nason,1.5 m,"KS,MC",9:00am,9:10am,NA,,220,6,S,S,4.7,Clear,
4/10/2018,Nason,1.5 m,"JH,TJ",9:00am,9:10am,16,,479,8.5,M,M,4.5,Cloudy,
6/20/2018,Nason,1.5 m,"MC,TJ",9:00am,9:10am,9,,600,6.5,S,S,9.2,Clear,
7/14/2010,White,1.5m,"KO, MWC",9:00am,9:10am,1,,1500,6,Small,Small,7.4,Cloudy,
7/17/2010,White,1.5m,"MWC, KO",9:00am,9:10am,NA,,1710,6,Small,Small,8.2,Cloudy,
4/11/2015,White,1.5 m,"MC,JH",9:00am,9:10am,2,,541,5.5,S,S,4.7,Clear,
4/15/2015,White,1.5 m,"KS, BI",9:00am,9:10am,2,,442,6.5,S,S,3.5,Clear,
3/18/2016,White,1.5 m,"KS,MC",9:00am,9:10am,NA,,525,5,S,S,2.6,Clear,
